date,total_value
2008-08-12 16:00:00,98099.0
2008-08-13 16:00:00,102027.0
2008-08-13 16:00:00,102027.0
2008-08-13 16:00:00,102027.0
2008-08-14 16:00:00,101202.0
2008-08-15 16:00:00,99967.0
2008-08-18 16:00:00,99587.0
2008-08-18 16:00:00,99587.0
2008-08-18 16:00:00,99587.0
2008-08-18 16:00:00,99587.0
2008-08-18 16:00:00,99587.0
2008-08-18 16:00:00,99587.0
2008-08-19 16:00:00,99587.0
2008-08-20 16:00:00,99587.0
2008-08-21 16:00:00,99587.0
2008-08-22 16:00:00,99587.0
2008-08-25 16:00:00,99587.0
2008-08-26 16:00:00,99587.0
2008-08-27 16:00:00,99587.0
2008-08-28 16:00:00,99587.0
2008-08-29 16:00:00,99587.0
2008-09-02 16:00:00,99587.0
2008-09-03 16:00:00,99587.0
2008-09-04 16:00:00,99587.0
2008-09-05 16:00:00,99587.0
2008-09-08 16:00:00,99587.0
2008-09-09 16:00:00,99587.0
2008-09-10 16:00:00,99587.0
2008-09-11 16:00:00,99587.0
2008-09-12 16:00:00,99587.0
2008-09-15 16:00:00,99587.0
2008-09-16 16:00:00,99587.0
2008-09-17 16:00:00,99587.0
2008-09-18 16:00:00,99587.0
2008-09-19 16:00:00,99587.0
2008-09-22 16:00:00,99587.0
2008-09-23 16:00:00,99587.0
2008-09-24 16:00:00,99587.0
2008-09-25 16:00:00,99587.0
2008-09-26 16:00:00,99587.0
2008-09-29 16:00:00,99587.0
2008-09-30 16:00:00,99587.0
2008-10-01 16:00:00,99587.0
2008-10-02 16:00:00,99587.0
2008-10-03 16:00:00,99587.0
2008-10-06 16:00:00,99587.0
2008-10-07 16:00:00,99587.0
2008-10-08 16:00:00,99587.0
2008-10-09 16:00:00,99587.0
2008-10-10 16:00:00,99587.0
2008-10-13 16:00:00,99587.0
2008-10-14 16:00:00,99587.0
2008-10-15 16:00:00,99587.0
2008-10-16 16:00:00,99587.0
2008-10-17 16:00:00,99587.0
2008-10-20 16:00:00,99587.0
2008-10-21 16:00:00,99587.0
2008-10-22 16:00:00,99587.0
2008-10-23 16:00:00,99587.0
2008-10-24 16:00:00,99587.0
2008-10-27 16:00:00,99587.0
2008-10-28 16:00:00,99587.0
2008-10-29 16:00:00,99587.0
2008-10-30 16:00:00,99587.0
2008-10-31 16:00:00,99587.0
2008-11-03 16:00:00,99587.0
2008-11-04 16:00:00,99587.0
2008-11-05 16:00:00,99587.0
2008-11-06 16:00:00,99587.0
2008-11-07 16:00:00,99587.0
2008-11-10 16:00:00,99587.0
2008-11-11 16:00:00,99587.0
2008-11-12 16:00:00,99587.0
2008-11-13 16:00:00,99587.0
2008-11-14 16:00:00,99587.0
2008-11-17 16:00:00,99587.0
2008-11-18 16:00:00,99587.0
2008-11-19 16:00:00,99587.0
2008-11-20 16:00:00,99587.0
2008-11-21 16:00:00,99587.0
2008-11-24 16:00:00,99587.0
2008-11-25 16:00:00,99587.0
2008-11-26 16:00:00,99587.0
2008-11-28 16:00:00,99587.0
2008-12-01 16:00:00,99587.0
2008-12-02 16:00:00,99587.0
2008-12-03 16:00:00,99587.0
2008-12-04 16:00:00,99587.0
2008-12-05 16:00:00,99587.0
